epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.3478,1.03454,2.15835,1.47566,0.61074,0.625,0.5653,0.40027,0.90809,3.41134,1.60283,0.0002,0.0002,0.0002
2,74.651,0.86283,1.40753,1.31841,0.67846,0.475,0.58393,0.34469,1.13801,5.20708,1.65403,0.00040614,0.00040614,0.00040614
3,110.494,0.85125,1.43543,1.33031,0.34014,0.43828,0.29607,0.12725,2.2211,6.86548,2.49605,0.00059776,0.00059776,0.00059776
4,146.201,0.86894,1.19957,1.28533,0.46935,0.66348,0.54791,0.26653,1.39709,3.43425,2.23121,0.00077486,0.00077486,0.00077486
5,180.36,0.95383,1.26019,1.30949,0.43882,0.6,0.44563,0.19991,1.64607,4.6452,2.71787,0.00093744,0.00093744,0.00093744
6,214.596,0.97849,1.19802,1.35588,0.46792,0.59369,0.49157,0.26912,1.31228,3.4712,2.15677,0.0010855,0.0010855,0.0010855
7,248.755,0.96667,1.19571,1.35301,0.72702,0.625,0.62254,0.36504,1.24257,1.9341,2.1087,0.00121904,0.00121904,0.00121904
8,283.814,1.06994,1.19563,1.44929,0.65982,0.65,0.67881,0.36967,1.30111,1.97097,2.1438,0.00133806,0.00133806,0.00133806
9,318.968,1.02074,1.10742,1.39363,0.27886,0.475,0.31975,0.13151,1.87374,2.81683,2.50846,0.00144256,0.00144256,0.00144256
10,352.989,1.02033,1.10836,1.38365,0.26669,0.65,0.26471,0.09836,1.79779,3.63961,2.59217,0.001406,0.001406,0.001406
11,386.588,1.00177,1.09505,1.3846,0.37216,0.525,0.38589,0.15351,1.90118,3.60322,2.56741,0.00134,0.00134,0.00134
12,420.194,0.91601,0.99396,1.31711,0.44185,0.575,0.45967,0.1716,1.77615,2.31786,2.4614,0.001274,0.001274,0.001274
13,454.863,0.96592,1.0125,1.31906,0.72739,0.625,0.65892,0.37937,1.19636,1.73678,1.90802,0.001208,0.001208,0.001208
14,489.218,0.91316,0.92781,1.30739,0.58811,0.6,0.61351,0.35108,1.28748,1.95816,1.96007,0.001142,0.001142,0.001142
15,522.052,0.95344,1.05337,1.35565,0.46002,0.6,0.4653,0.23302,1.28771,1.83928,2.13108,0.001076,0.001076,0.001076
16,561.079,0.96957,1.01551,1.32776,0.63119,0.525,0.45526,0.26979,1.32538,1.65797,2.09656,0.00101,0.00101,0.00101
17,595.342,0.91337,0.96343,1.34506,0.44297,0.67596,0.46278,0.23263,1.314,1.80158,1.93258,0.000944,0.000944,0.000944
18,628.794,0.77623,0.85227,1.25064,0.60287,0.60736,0.55647,0.26419,1.27947,1.74062,1.95838,0.000878,0.000878,0.000878
19,662.811,0.8962,0.87269,1.3332,0.52903,0.65,0.49083,0.24211,1.37801,1.56642,1.95829,0.000812,0.000812,0.000812
20,696.784,0.81458,0.88294,1.24695,0.80505,0.55,0.58988,0.24643,1.63846,1.66697,2.18212,0.000746,0.000746,0.000746
21,729.922,0.80963,1.05363,1.36266,0.68378,0.7,0.64011,0.31215,1.1024,1.41805,1.78661,0.00068,0.00068,0.00068
22,764.38,0.70455,0.87912,1.26223,0.75041,0.67653,0.68318,0.40093,1.1048,1.03145,1.90273,0.000614,0.000614,0.000614
23,799.331,0.68755,0.83253,1.31733,0.81936,0.625,0.74702,0.46331,1.08909,1.03126,1.80694,0.000548,0.000548,0.000548
24,834.306,0.71562,0.80937,1.28496,0.71633,0.625,0.70198,0.44855,1.07489,1.13204,1.75877,0.000482,0.000482,0.000482
25,868.934,0.70489,0.83272,1.24237,0.61074,0.625,0.64641,0.35189,1.15107,1.337,1.77782,0.000416,0.000416,0.000416
26,903.769,0.61779,0.80855,1.18887,0.74838,0.59497,0.69711,0.37461,1.15704,1.20131,1.78922,0.00035,0.00035,0.00035
27,938.393,0.56121,0.72598,1.1396,0.7246,0.72357,0.7804,0.46805,1.10876,1.01948,1.72754,0.000284,0.000284,0.000284
28,973.095,0.59201,0.72346,1.2069,0.84374,0.725,0.81809,0.52095,1.05419,0.955,1.66828,0.000218,0.000218,0.000218
29,1007.59,0.61799,0.73646,1.19951,0.7775,0.8,0.81752,0.5244,1.0383,0.91051,1.64981,0.000152,0.000152,0.000152
30,1042.97,0.59468,0.70901,1.17931,0.82277,0.81255,0.83204,0.54299,1.01713,0.90257,1.64691,8.6e-05,8.6e-05,8.6e-05
