epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,41.026,1.21324,2.85559,1.62873,1,0.92051,0.995,0.89508,0.42079,4.02559,1.07278,0.00012,0.00012,0.00012
2,79.239,0.78994,1.46063,1.31258,0.65566,0.96698,0.82833,0.67921,0.61544,5.2459,1.20059,0.000254852,0.000254852,0.000254852
3,117.252,0.89042,1.33498,1.32905,0.64586,1,0.82833,0.61292,0.79664,3.04534,1.47801,0.00038416,0.00038416,0.00038416
