epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,32.6282,1.03454,2.15835,1.47566,0.61074,0.625,0.5653,0.40027,0.90809,3.41134,1.60283,0.0002,0.0002,0.0002
2,63.5931,0.86283,1.40753,1.31841,0.67846,0.475,0.58393,0.34469,1.13801,5.20708,1.65403,0.00040614,0.00040614,0.00040614
3,94.7406,0.85125,1.43543,1.33031,0.34014,0.43828,0.29607,0.12725,2.2211,6.86548,2.49605,0.00059776,0.00059776,0.00059776
4,126.014,0.86894,1.19957,1.28533,0.46935,0.66348,0.54791,0.26653,1.39709,3.43425,2.23121,0.00077486,0.00077486,0.00077486
5,157.11,0.95383,1.26019,1.30949,0.43882,0.6,0.44563,0.19991,1.64607,4.6452,2.71787,0.00093744,0.00093744,0.00093744
6,188.408,0.97849,1.19802,1.35588,0.46792,0.59369,0.49157,0.26912,1.31228,3.4712,2.15677,0.0010855,0.0010855,0.0010855
7,219.098,0.96667,1.19571,1.35301,0.72702,0.625,0.62254,0.36504,1.24257,1.9341,2.1087,0.00121904,0.00121904,0.00121904
8,255.167,1.06994,1.19563,1.44929,0.65982,0.65,0.67881,0.36967,1.30111,1.97097,2.1438,0.00133806,0.00133806,0.00133806
9,291.126,1.02074,1.10742,1.39363,0.27886,0.475,0.31975,0.13151,1.87374,2.81683,2.50846,0.00144256,0.00144256,0.00144256
10,325.54,1.02033,1.10836,1.38365,0.26669,0.65,0.26471,0.09836,1.79779,3.63961,2.59217,0.001406,0.001406,0.001406
11,360.152,1.00177,1.09505,1.3846,0.37216,0.525,0.38589,0.15351,1.90118,3.60322,2.56741,0.00134,0.00134,0.00134
12,395.196,0.91601,0.99396,1.31711,0.44185,0.575,0.45967,0.1716,1.77615,2.31786,2.4614,0.001274,0.001274,0.001274
13,430.36,0.96592,1.0125,1.31906,0.72739,0.625,0.65892,0.37937,1.19636,1.73678,1.90802,0.001208,0.001208,0.001208
14,464.884,0.91316,0.92781,1.30739,0.58811,0.6,0.61351,0.35108,1.28748,1.95816,1.96007,0.001142,0.001142,0.001142
15,499.102,0.95344,1.05337,1.35565,0.46002,0.6,0.4653,0.23302,1.28771,1.83928,2.13108,0.001076,0.001076,0.001076
16,534.181,0.96957,1.01551,1.32776,0.63119,0.525,0.45526,0.26979,1.32538,1.65797,2.09656,0.00101,0.00101,0.00101
