epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.8839,1.03454,2.15835,1.47566,0.61074,0.625,0.5653,0.40027,0.90809,3.41134,1.60283,0.0002,0.0002,0.0002
2,74.6738,0.86283,1.40753,1.31841,0.67846,0.475,0.58393,0.34469,1.13801,5.20708,1.65403,0.00040614,0.00040614,0.00040614
3,110.765,0.85125,1.43543,1.33031,0.34014,0.43828,0.29607,0.12725,2.2211,6.86548,2.49605,0.00059776,0.00059776,0.00059776
4,145.68,0.86894,1.19957,1.28533,0.46935,0.66348,0.54791,0.26653,1.39709,3.43425,2.23121,0.00077486,0.00077486,0.00077486
5,180.668,0.95383,1.26019,1.30949,0.43882,0.6,0.44563,0.19991,1.64607,4.6452,2.71787,0.00093744,0.00093744,0.00093744
6,217.6,0.97849,1.19802,1.35588,0.46792,0.59369,0.49157,0.26912,1.31228,3.4712,2.15677,0.0010855,0.0010855,0.0010855
